电影名,score,类型,上映时间,时长,tagline,简介
勇夺芳心,85.0,喜剧/剧情/爱情,1995-10-20,190,"Come… fall In love, all over again…",乔德利和妻子结婚多年，一直十分恩爱。两人共同养育了两个女儿希姆莱和图吉，两个姑娘都出落得亭亭玉立。一晃眼，希姆莱就到了该嫁人的年纪了，尽管乔德利一家人已经在伦敦生活了二十多年了，但乔德利骨子里依旧是一个传统的印度人。乔德利将希姆莱许配给了朋友的儿子库杰，这让希姆莱感到十分不满。一次偶然中，希姆莱邂逅了名为拉杰的印度男子，尽管拉杰为人轻浮，油腔滑调，但希姆莱还是同他坠入了情网。得知此事的乔德利举家迁回了印度，拉杰亦紧跟其后，他要如何才能获得乔德利的认可呢？
绿里奇迹,85.0,奇幻/剧情/犯罪,2000-03-16,189,保罗·埃奇康姆从不相信奇迹。直到他遇见奇迹的那一天。,1935年。美国南部惨淡肃杀的冷山监狱。这里有片一英里长的绿地，人们叫它“绿里”。不过，它的居民皆为死囚，在绿地的另一头，便是行刑用的电椅。保罗·艾治科姆（汤姆·汉 克斯饰）是这里的狱监，对于走过“绿里”、继而在电椅上惨叫毙命的死囚行刑程序，他俨然已无动于衷。除了保罗及其爱妻简外，“绿里”上还有凶残的副狱监豪威尔，有施虐倾向 的狱吏佩西，良心未泯的看守海尔和他身患绝症的妻子美琳达，喜用宠物鼠逗狱吏和诸“难友”取乐的德拉克，连环杀人狂威廉，负疚深重的犯人彼特等一干形形色色的人们。他们之 间充满了敌意和不屑。但神秘的约翰·考夫利的到来改变了一切。考夫利因谋杀两名幼女被 判死罪，他相貌恐怖，体形硕大，却出奇地平和、敏感而缄默，天真时甚至像个孩子，同时， 他似乎还具有一种不可名状的神秘力量，令人不由自主地对其产生信任感，这不禁让艾治科姆对其罪行是否属实深怀疑问。 真情无法取代程式，考夫利终要走过“绿里”。在这个貌似粗鲁的男人即将赴死的刹那，“绿里”上的人们以不同以往的形式实现了各自生命的重要跨越。
Selena Gomez: My Mind & Me,85.0,纪录/音乐,2022-11-04,95,"Every breath, a breakthrough.",在聚光灯下多年之后，赛琳娜·戈麦斯获得了难以想象的明星地位。但就在她到达一个新的高峰时，一个意外的转折把她拉进了黑暗。这部独特的、亲密的纪录片跨越了她六年的旅程，展现了她新的光芒。
指环王3：王者无敌,85.0,冒险/奇幻/动作,2003-12-18,263,敌人的邪眼在移动！,索伦大军为剿灭人类种族，已对刚铎都城米那斯提力斯展开围攻。这座昔日的伟大王国由一位日渐衰弱的摄政王守护，此刻比任何时候都更需要它的王者归来。但阿拉贡能否回应血脉的召唤，成为命定之君？中土世界的命运，正系于他宽阔的双肩。
寄生虫,85.0,喜剧/惊悚/剧情,2019-06-27,132,表现得好像这个地方是你的似的。,这部定义时代精神的惊世之作，将全球范围内对阶级不平等的审视浓缩为一场流行电影的反叛风暴。奉俊昊导演以这部打破类型桎梏的黑色喜剧惊悚片，奠定了其世界顶尖电影作者的地位。故事聚焦首尔的两个家庭——一户在低洼社区潮湿半地下室里挣扎求生的底层家庭，另一户则居住于可俯瞰城市的现代建筑奇观中尽享奢华。当两家人的命运因危险关系交织在一起时，资本主义的黑暗裂隙以惊人之势被彻底撕裂。影片凭借导演精心构建的戏剧场景、出色的群像演绎与震撼的视觉设计，成为一部技艺卓绝的典范之作。从戛纳到奥斯卡，横扫几乎所有国际至高奖项，更以首部非英语片问鼎最佳影片的历史性突破，宣告韩国新电影已成为不可忽视的世界力量。
要不要做我儿子？,85.0,喜剧/爱情,2023-09-21,140,简介,四十岁的卢发现相伴十五年的伴侣出轨，生活瞬间崩塌。她在重建自我的过程中，与一位年轻放浪的男子产生了出乎意料的关系。
低俗小说,85.0,惊悚/犯罪/喜剧,2011-04-18,154,仅仅因为你是一个角色并不意味着你有角色。,由序幕、尾声及三个独立又环环相扣的故事构成。早餐店两名劫匪打劫时，偶遇黑道打手朱尔斯与文森特；文森特奉命陪伴老大马沙的妻子，深陷诱惑困境；拳击手布奇因祖传金表，和马沙结下恩怨。
你的名字。,85.0,动画/爱情/剧情,2016-08-26,106,我正在寻觅未曾相识的你。,彗星降临之夜，两个生命的轨迹就此改变。高中生三叶与泷本是素不相识的陌生人，过着各自的生活。然而某夜，他们突然互换了身体——三叶在泷的身体中醒来，泷则进入了她的人生。这种奇异的现象持续随机发生，两人不得不互相迁就，调整生活节奏。出人意料的是，他们渐渐磨合出默契，通过留言、讯息，更重要的是，通过留在彼此生命中的印记建立起联结。当璀璨的彗星点亮夜空时，他们终于醒悟：渴望从这份羁绊中获得更多——一个真正见面的机会，一次真正了解彼此的相遇。他们牵起命运的丝线，试图寻找通向对方的路。然而阻隔他们的，不仅仅是距离。这份牵绊，是否足以对抗时间残酷的捉弄？抑或他们的相遇，终究只是对星辰许下的愿望？[FUNimation]
星际穿越,85.0,冒险/剧情/科幻,2014-11-06,169,人类的下一步将迈向非凡！,近未来的地球黄沙遍野，小麦、秋葵等基础农作物相继因枯萎病灭绝，人类不再像从前那样仰望星空，放纵想象力和灵感的迸发，而是每日在沙尘暴的肆虐下倒数着所剩不多的光景。在家务农的前NASA宇航员库珀接连在女儿墨菲的书房发现奇怪的重力场现象，随即得知在某个未知区域内前NASA成员仍秘密进行一个拯救人类的计划。多年以前土星附近出现神秘虫洞，NASA借机将数名宇航员派遣到遥远的星系寻找适合居住的星球。在布兰德教授的劝说下，库珀忍痛告别了女儿，和其他三名专家教授女儿艾米莉亚·布兰德、罗米利、多伊尔搭乘宇宙飞船前往目前已知的最有希望的三颗星球考察。他们穿越遥远的星系银河，感受了一小时七年光阴的沧海桑田，窥见了未知星球和黑洞的壮伟与神秘。在浩瀚宇宙的绝望而孤独角落，总有一份超越了时空的笃定情怀将他们紧紧相连……
黄金三镖客,85.0,西部,2009-08-04,161,对这三人来说内战不是地狱，是天堂。,对三个男人而言，内战并非地狱……而只是热身！克林特·伊斯特伍德再度化身“无名客”，此番联手两名枪手，共同追寻一批价值20万美元的黄金，决不让任何人阻挡——哪怕是内战中的交战派系。
Chand Mera Dil,38.0,爱情/剧情,2026-05-22,142,When love grows faster than life,"Aarav and Chandni's passionate college romance is struck by adulthood far too soon, forcing the two young lovers to balance their ambitions with responsibility and realize the evolved meaning of love."
悍警归来,40.0,动作/惊悚,2025-12-25,144,简介,一名被解职的警察与肆意残害该州民众的犯罪分子和腐败政客展开斗争。随着暴力事件的爆发，他重返工作岗位，与邪恶势力作斗争，以恢复正义。
平面设计,69.0,惊悚/犯罪,2022-08-15,90,An erotic thriller for the Tinder generation.,宅男平面设计师弗兰克林跟女友坎蒂达的感情看似和谐，却都对这段感情感到疲乏，女友长期的应酬和出差，让弗兰克林开始通过网络女主播偷尝禁果，一个叫亚特兰大的女网友的出现，更是让弗兰克林神魂颠倒，而原本放荡不羁的坎蒂达在亚特兰大出现之后，也产生了深深的危机感...
阿凡达：火与烬,76.0,科幻/冒险/奇幻,2025-12-18,197,传奇导演詹姆斯·卡梅隆全新史诗续章。,从人类归化纳美族并当上首领的杰克·萨利、妻子纳美战士奈蒂莉及萨利的家人一同在经历奋战与伤痛后开始在岛礁群生活，但他们仍未走出纳特亚姆去世的阴影。为保护蜘蛛，他们随风之商人部族踏上返乡之旅，却途中遭到由瓦琅率领的灰烬族袭击。与此同时，人类军方正在筹备新的进攻。
零女特警2,50.0,动作/惊悚,1995-09-13,99,简介,警视厅“0课”是一个被赋予杀人许可的极密特殊部门。主人公蕾（Rei）是该部门的一位干练女刑警。然而，无论执行多少次任务，蕾始终无法习惯这种夺人性命的工作。  此次，蕾接到的任务是夺回被黑帮组织持有、价值数十亿日元的股票券。她单枪匹马闯入敌营成功夺回股票，但转眼间又被另一伙流氓团伙抢走。就在危急关头，昔日的恋人兼同事贵岛前来支援……  作为警视厅内部唯一拥有公务杀人许可的特殊部门“0课”的女刑警，蕾受命夺回掌握在黑帮手中、以现任议员名义持有的数十亿股票券，故事由此展开……这是该系列的第二部作品。
河狸变身计划,82.0,冒险/动画/喜剧/家庭/科幻,2026-03-12,99,表现得自然一点。,梅宝是一位对动物世界充满好奇的年轻女孩，她利用先进的意识上传技术，将自己的思维注入一只机械河狸体内。以这种独特的形态，梅宝结识了河狸王国的乔治国王等动物伙伴。然而，一个由房地产开发计划带来的威胁，正试图破坏动物们的栖息地。梅宝与她的新朋友们联手，利用机械河狸的能力和人类的智慧，共同对抗这个危机，守护动物们的家园。
Karuppu,74.0,动作/奇幻,2026-05-15,151,简介,"In a world where justice falters, guardian deity Vettai Karuppu takes the guise of a lawyer to battle a corrupt legal system preying on the powerless."
丽塔,62.0,剧情,2024-03-22,113,简介,当丈夫阿列尔（Ariel）在国外工作时，丽塔（Rita）发现自己独自一人非常寂寞。 他们都在其他人身上找到安慰和性满足。 阿列尔回来时，他们都表现得好像什么都没发生过。 但这样能防止他们的婚姻破裂吗？
宇宙巨人：希曼崛起,77.0,动作/奇幻/科幻,2026-06-04,141,Witness how he became He-Man.,亚当（尼古拉斯·加利齐纳 饰）在神秘圣剑的召唤下，尘封十五年的异世界王子身份觉醒，平凡人生被彻底颠覆。他跨越时空重返埃坦尼亚，但故乡早已在骷髅王的统治下分崩离析。为拯救曾经的家园与现在的世界，亚当必须再次拔出圣剑，喊出那句响彻寰宇的咒语——“赐予我力量吧！我是希曼！”
门2：东京日记,61.0,剧情/惊悚,1991-04-25,82,简介,艾是一名应召女郎。如果她的工作涉及很大的风险，她会感到自由，并喜欢看似危险的有趣情境... 艾喜欢玩耍。她遇到了许多客户，有时暴力，有时非常温柔，但通常都很疯狂... 在这些客户中，有一个名叫马宮先生的怪异而迷人的艺术家逐渐引导她进入SM快乐之中。尽管如此，她对他的吸引力不断增长，并在某天告诉他：“我爱你”，第二天艾收到了马宮寄来的邀请信。
女性瘾者：第二部,67.0,剧情/悬疑,2013-12-25,124,忘掉爱情。,故事紧接着上一部，乔伊（夏洛特·甘斯布 Charlotte Gainsbourg 饰）徐徐讲述，从来不知情欲为何物的赛里格曼（斯特兰·斯卡斯加德 Stellan Skarsgård 饰）亦深深着迷。乔伊和杰罗姆（希亚·拉博夫 Shia LaBeouf 饰）有了孩子，但这颗爱情的结晶却并没有让在欲海中越陷越深的乔伊感到快乐，生活的重负让原本相爱的杰罗姆和乔伊渐行渐远。
烈火情人,66.0,剧情/爱情,1993-02-05,111,Desire... Deceit... Destiny...,即将入职的内阁部长史蒂夫（杰瑞米•艾恩斯 Jeremy Irons 饰）同妻子英格丽、儿子马丁（拉珀特•格雷夫斯 Rupert Graves 饰）平静安逸地生活着。安娜（朱丽叶•比诺什 Juliette Binoche 饰）的出现像是一股汹涌的暗流冲撞着这个看似完满的家庭。安娜是儿子的女朋友，却背地里与史蒂夫展开了一段热烈浪漫的关系。安娜曾经在青春期里与哥哥的畸恋记忆一直影响着她，这使她一面寻找各种机会和史蒂夫约会，一面又能泰若自然的面对马丁，而当史蒂夫提出要抛弃家庭与她厮守时安娜却冷静地拒绝。某日马丁开门见到二人相会的情景，震惊和痛苦使他不慎跌下楼梯，史蒂夫匆忙下楼抱着死去的儿子，安娜此时却无声地离开，只留下身后中年男人无法重建的坍塌生活。
真人快打2,67.0,动作/奇幻/冒险,2026-05-07,116,致命终局战，热血鉴真章,过气好莱坞演员强尼·凯奇（卡尔·厄本 饰）被意外选中，加入一场决定地球命运的真人快打。吉塔娜（阿德莱恩·鲁道夫 饰）、刀锋索尼娅（杰西卡·麦克娜美 饰）、卡诺（约什·劳森 饰）、刘康（林路迪 饰）、贾克斯（麦卡德·布鲁克斯 饰）、尚宗（黄经汉 饰）、雷电（浅野忠信 饰）、避寒（乔·塔斯利姆 饰）、蝎子（真田广之 饰）等角色也将各显身手，开启血浆狂飙的格斗厮杀。
惊声尖笑6,58.0,喜剧/恐怖,2026-06-04,95,Every line will be crossed.,在逃离那个似曾相识的面具杀手二十六年后，核心四人组再度成为猎杀目标，而这一次，所有恐怖电影IP都将无一幸免。
穿普拉达的女王,74.0,剧情/喜剧,2006-08-31,109,时尚有代价，成长也一样。,初涉社会的安德丽娅•桑切丝 来到了著名时尚杂志《RUNWAY》面试，以聪明得到了主编米兰达•普雷斯丽 的特许，让她担任自己的第二助理。开始的时候安德丽娅感到十分委屈，就算自己多努力工作也无法得到赞赏，经一位老前辈的指点便重新改造自己。工作越来越顺，甚至取代了第一助理在米兰达心中的地位，决定带着这个聪明的女孩前往法国。可安德丽的改变让她失去了男友及朋友的爱，令她非常矛盾。到达法国后，她得知了米兰达的地位不保了，没想到米兰达竟然牺牲自己多年的好搭档保住了自己的地位，此事令安德丽娅深感失望，有了抽身离去的想法，到底安德丽娅会何去何从？
真人快打,70.0,动作/奇幻/冒险,2021-04-08,110,速速赶来,为钱而打架糊口度日的MMA拳手科尔·杨（刘易斯·陈饰），并不知道为什么异星帝王尚宗（黄经汉饰）会遣出他手下最好的战士绝对零度（乔·塔斯利姆饰）——一个超凡的冷冻术士，来为了他所不了解的遗产而追杀他。出于对家人安全的考虑，科尔在身上拥有同样龙形标记的特种部队少校贾克斯（麦卡德·布鲁克斯）的指引下，寻找索尼娅·布雷德（杰西卡·麦克娜美）。很快，他发现自己来到了雷电（浅野忠信饰）的神庙，雷电是一位远古之神，也是地球阳间的守护者，他为那些拥有印记的人提供庇护。在这里，科尔与经验丰富的战士刘康（林路迪饰）、空佬（麦克斯·黄），以及恶棍佣兵卡诺（约什·劳森饰）一同训练，准备与这群地球上最伟大的战士们一起抵抗异星敌人的入侵，为宇宙展开一场殊死搏斗。但科尔是否能被逼到足够的境地以解开他灵魂深处巨大力量的奥秘，以及时拯救他的家人、阻止异星的入侵呢？
疯狂,50.0,惊悚/动作/犯罪,1980-03-20,85,简介,Paula和Sergio结婚了，他们在山上拥有一所小房子，他们只在周末去那里旅行。Lillian是Paula的妹妹，她恰好与Sergio有染。Sergio要去打猎，Paula要去购物，Lillian光着身子呆在家里晒日光浴。Lillian打开收音机，我们听到一则新闻报道，一名小偷和杀人犯越狱，用干草叉谋杀了一名农民，目前在逃。名叫Joe Brezy的罪犯偷了车，躲在房子附近。他在房子里埋了3亿里拉（之前抢劫的）。Joe把他们三人作为人质，当他最终拿到战利品时，他玩弄Paula、Lillian和Sergio，向Paula讲述她丈夫和妹妹的婚外情。
深渊营救,55.0,动作/惊悚,2026-04-10,93,简介,身手顶尖的卧底女警玛雅，奉命渗透加拿大最大的跨国贩毒集团，接近头目维克多。数年卧底生涯中，她在黑帮内部步步为营，在猜忌、背叛与暴力中保全自己，对抗集团权力斗争。当身份面临暴露、线人接连遇害，玛雅在黑白两道的夹缝中绝境反击，以一己之力捣毁整个贩毒网络，完成终极任务，为自己讨回公道。
Pati Patni Aur Woh Do,75.0,喜剧,2026-05-15,117,简介,"A seemingly perfect marriage in Prayagraj takes an unexpected turn when one decision leads to a chain of misunderstandings, suspicion, and comedic chaos."
鬼灭之刃：无限城篇 第一章 猗窝座再袭,77.0,动画/动作/奇幻,2025-08-14,155,It's time to have some fun.,当鬼杀队的成员和柱之人在为即将到来的与鬼的战斗做准备，完成共同的体能训练——柱之训练时，鬼舞辻无惨在产屋敷宅邸出现。由于鬼杀队的主公处于危险之中，炭治郎和柱急忙赶往总部，但却被鸣女推入一个神秘的异空间。炭治郎和鬼杀队的目标是鬼的堡垒——无限城。因此，鬼杀队和鬼之间的最终战斗的战场已经准备就绪。
致命之旅,68.0,动作/喜剧/惊悚,2026-04-24,106,Breakups are all in the execution.,一对婚姻出现问题的老夫妻为了修复关系，隐居到一处偏僻的小屋，但两人却暗中策划谋杀对方。
迈克尔·杰克逊：巨星之路,76.0,音乐/剧情,2026-04-23,136,Discover the making of a king.,本片将通过一段从未展现过的深度视角，真实记录传奇巨星迈克尔·杰克逊的复杂人生。影片不仅再现了他最具标志性的艺术表演瞬间，更深入挖掘了他的内心世界——从天才神童的成长阵痛到全球偶像背后的争议与坚韧，全面呈现这位伟大艺术家的辉煌与坎坷。
盘丝洞,57.0,奇幻/冒险/动作/音乐,1967-07-31,82,简介,唐僧师徒一行四人离开朱紫国，途经一片庄园。唐僧执意亲自化缘，遇见七个绣花玩耍的女子，然这些女子乃妖精所化，分别为：红蜘蛛（于倩 饰）、绿蜘蛛（沉依 饰）、金蜘蛛（刘亮华 饰）、黄蜘蛛（马海伦 饰）、蓝蜘蛛（尤倩 饰）、银蜘蛛（田梦 饰）、白蜘蛛（黄莎莉 饰）。她们得知唐僧身份后，遂将其虏入洞府，欲吃其肉求长生不老。悟空久候师傅不归，情知不妙，唤来土地知晓唐僧许被蜘蛛精所获，于是带领沙僧、八戒打上盘丝洞，解救师傅……
KD – The Devil,50.0,历史/犯罪/动作/奇幻,2026-04-30,141,I MEAN IT'S BETTER THAN MARTIN,"In the early 1970s, a petty criminal Kaali unwittingly involves himself with underworld thugs, catalyzing events beyond his control."
巅峰猎杀,68.0,动作/惊悚,2026-04-24,96,Hunt. Survive.,悲痛的女子独自前往澳大利亚荒野探险，挑战自己的极限，却意外卷入了一场变态的游戏 — 一名狡猾的杀手将她作为猎物展开猎杀。
奇迹梦之队,81.0,动画/喜剧/家庭,2026-02-17,100,梦想从不因渺小而受限。,主角威尔是只梦想成为职业球手的小山羊，面对向来由猛兽主宰的凶险赛场，队友对他嗤之以鼻，他能否打破偏见，用实力证明小个子也能称霸球场？
危情瘾难耐,59.0,剧情/惊悚,2014-10-10,105,Every Woman Needs an Escape,在朋友们的眼里，佐伊 俨然拥有完美无缺的幸福生活，她有一份稳定而收入优渥的工作，和丈夫杰森 结婚多年彼此之间感情一直十分亲密，两人共同养育了两个可爱乖巧的孩子，一切都是那样的妥帖。然而只有佐伊自己知道，在快乐的表象都无法填补她心里巨大的黑洞，燃烧的欲望无时不刻不在折磨和摧毁着她。
征服者,72.0,动作/犯罪/惊悚,2025-12-13,205,简介,2000年代初，一名卧底特务潜入喀拉蚩的黑社会，打进权力核心，只为从内部瓦解暴力网络。
Bhooth Bangla,65.0,恐怖/喜剧,2026-04-16,163,简介,"A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past."
疯狂动物城2,77.0,冒险/动画/喜剧/家庭/悬疑,2025-11-27,108,他们带着一个转折回来了。,在成功侦破动物城历史上最重大的案件后，警官兔朱迪与狐尼克发现自己陷入了一个错综复杂的谜团之中。一只神秘爬行动物的到来，把温馨的动物城搅动得天翻地覆。面对全新的城市危机，朱迪与狐尼克将继续携手为保卫动物城而奔波。在追捕行动中，这对老搭档不仅要揭开新角色的神秘面纱，还要前往被迷雾笼罩的新领域，探索未知的地下黑市。一场疯狂动物城的全新冒险即将展开……
The Photographer,70.0,恐怖/惊悚,2025-10-30,70,简介,"Inna, a young post-mortem photographer, arrives at a remote orphanage in northern Spain to capture the final image of Alejandra, a girl found dead under mysterious circumstances. But as her lens lingers on the tragedy, Inna begins to sense a dark presence within the orphanage's walls-an evil that refuses to remain hidden and threatens to make her its next subject."
铁甲钢拳,71.0,动作/科幻/剧情,2011-10-06,127,铁甲钢拳,在不远的未来2020年，观众不再满足于传统拳击肉搏，取而代之是更具官能刺激的机械人拳击。过气拳手查理生活潦倒，只能靠带着次货机械人参加黑市拳赛维生，同一时间多年不见的11岁儿子麦克斯又突然出现，更令他苦恼不堪。一次意外，麦克斯偶然从垃圾堆中检回一个残破机械人亚当，决心把他改造训练再上擂台，麦克斯的努力感染了查理，父子同心作战竟令被人看扁的亚当创造了一次又一次的奇迹，更打入冠军联赛与不败神话宙斯大帝一决高下。强弱悬殊下，亚当一直处于挨打劣势，查理父子档最后能否扭转局面？
Deool Band 2,0.0,喜剧/剧情,2026-05-21,182,简介,"The story follows a farmer who decides to question and test his faith, setting off a journey filled with emotional and life-altering moments. At its core, the narrative centers on a woman who tirelessly struggles for her family, facing hardships with resilience, as her path ultimately leads her to confront the very idea of divine power"
之后3,70.0,剧情/爱情,2021-09-30,99,简介,[之后3]讲述Tessa的生活开始变得扑朔迷离，一切都不像她想象的那样。她唯一可以依靠的人Hardin发现她一直保守的巨大秘密时，Hardin非常愤怒。而他非但没有理解，反而搞起了破坏。
怒兽出笼,62.0,动作/剧情,2026-04-23,114,Legends are made in the cage.,前MMA传奇巴顿·詹姆斯早已告别八角笼，以渔夫身份过着拮据的生活，与妻子卢西亚娜、女儿麦迪相依为命。他的弟弟马龙在MMA赛场遭现任冠军泽维尔·格劳恶意重创，重伤入院，还欠下高利贷巨额债务。为救弟弟、守护即将迎来新生命的家庭，巴顿找到曾被他辜负的昔日教练萨米，重新踏上训练之路，准备重返 ONE 冠军赛的八角笼，与残暴的格劳展开对决。
安昂传奇：最后的气宗,,动作/冒险/动画/奇幻,2026-10-09,99,,
请说你想要什么,76.0,爱情/剧情/喜剧,2023-07-27,103,简介,Diego和Emilia是一对结婚16年的保守夫妇，他们失去了激情，直到Tomas和Betina拯救了他们，并将他们引入了禁忌的世界，改变了他们对亲密关系、关系和性的了解。
Disforia,48.0,恐怖/惊悚,2025-09-20,82,DEATH WILL COME BY THOSE WHO LOVE YOU,"Set in the near future against the backdrop of widespread looting and societal collapse, the couple formed by Esther and Tomás and their daughter Say move to their summer house so they can promptly sell it and then flee from their country to France, drawing attention from a ring of voyeurs of real-life torture streamed on the dark web."
Blast,70.0,动作/剧情/家庭,2026-05-28,143,简介,Follows a family trained to protect the powerless who become the most dangerous obstacle of all.
狂野的觉醒,53.0,剧情/爱情/惊悚,2016-10-23,105,"Love, youth & sex in its wildest way",托尼和妹妹艾玛拥有一个农场。莱蒙和他的儿子亚伦为他们工作。托尼是公开的同性恋，喜欢聚会，艾玛暗恋亚伦，亚伦是一个未出柜的同性恋，害怕他的父亲会发现，但他的父亲也有一个秘密。
家弑服务,72.0,悬疑/惊悚,2026-01-01,131,探索门后隐藏的秘密。,生活困顿的米莉，得到了一份在富豪夫妇妮娜和安德鲁家中做家政的工作。但这份看似理想的工作，很快便变得危机四伏。米莉发现，这个富足家庭光鲜亮丽的外表之下，隐藏着远比她想象中更为危险的秘密。她置身于一个充满阴谋与恐惧的环境中，而这个家庭的悲剧命运也随着交织着秘密、丑闻与权力游戏的风暴在逐渐展开。
庇护之地,76.0,动作/犯罪/惊悚,2026-02-17,108,Her safety. His mission.,隐居孤岛的特工界黄金王牌迈克尔·梅森（杰森·斯坦森 饰）本想就此隔绝过往，一场风暴却让他救下少女杰茜（博德希·蕾·布里纳希 饰），命运的齿轮彻底反转……他们的行踪不慎暴露在严密的监控网络之下，神秘势力的追杀接踵而至，无路可退的梅森被迫重操旧业，携手少女开启生死突围之路。 面对顶尖特工小队和冷血杀手的轮番围剿，梅森一路火力全开：近身肉搏、飞车追逃、枪林弹雨，硬核爽战全程高能！随着追杀不断升级，层层阴谋被逐一揭开，互相防备的两人成为彼此唯一的依靠。当滔天阴谋席卷而来，他们能否冲破死局？这份绝境中的守护，又会成为铠甲还是软肋？
A级优等生下海记,58.0,剧情/电视电影,2017-02-11,87,Inspired by a true story,女学生Miriam Weeks考上了大学，但本来答应支付学费的家长忽然资金周转不开。不想负债的她选择化名Belle Knox拍色情片来交学费。她试图隐瞒她的色情演员身份，但这个秘密还是被同学发现并在大学传开了。于是现实中的骚扰和网络暴力接踵而来，而Miriam Weeks也以她独到的见解开始了反击……
揭秘日,72.0,悬疑/科幻/惊悚,2026-06-11,145,我们有权知道。,如果有人告诉你，我们并非宇宙中唯一的智慧生命，并且向你展示、证明了这一点，你会感到恐惧吗？今年夏天，真相将属于七十亿人。我们正一步步接近……揭秘日。
